,active_installs,cloud_avg_price,cloud_max_price,cloud_min_price,cloud_review_rate1,cloud_review_rate2,cloud_review_rate3,cloud_review_rate4,cloud_review_rate5,delta_installs,deployment_cloud,deployment_data_center,deployment_server,description,downloads,is_top_vendor,is_vendor_atlasian,license,market_name,marketplace_type,plugin_system_version,rating_num,rating_score,rating_stars,release_date,vendor_name,version,version_build_number,server_avg_price,server_max_price,server_min_price,server_review_rate1,server_review_rate2,server_review_rate3,server_review_rate4,server_review_rate5,dataCenter_avg_price,dataCenter_max_price,dataCenter_min_price,dataCenter_review_rate1,dataCenter_review_rate2,dataCenter_review_rate3,dataCenter_review_rate4,dataCenter_review_rate5
0,992.0,12004.0,29500.0,10.0,4.0,4.0,4.0,4.0,3.0,5.0,1.0,0.0,0.0,Simple and effective project cost and revenue tracking for Tempo Timesheets with clear overview of all your projects and budgeting,7.0,0.0,0.0,commercial,Cost Tracker for Tempo Timesheets,Paid via Atlassian,Three,12.0,2.567476153006537,3.666666746139526,1578910582892.0,Tempo for JIRA,1.0.3-AC,1000003.0,,,,,,,,,,,,,,,,
1,808.0,6013.0,16175.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,Easiest and precise time tracking. Log work automatically. Overview your team with powerful reports. Tempo alternative,6.0,0.0,0.0,commercial,Clockwork Automated Timesheets Pro,Paid via Atlassian,Three,33.0,3.079205483784433,3.757575750350952,1536914801432.0,HeroCoders,1.3.26-AC,1003026.0,,,,,,,,,,,,,,,,
2,3556.0,9095.0,22750.0,10.0,4.0,4.0,3.0,3.0,2.0,18.0,1.0,0.0,0.0,"Custom Jira reports and charts. Visualize and analyze Jira, DevOps, popular apps, and more with Jira custom reporting & charts app",15.0,0.0,0.0,commercial,eazyBI Reports and Charts for Jira Cloud,Paid via Atlassian,Three,71.0,2.903887029017039,3.366197109222412,1379289600000.0,eazyBI,6.0.2-AC,6000002.0,,,,,,,,,,,,,,,,
3,903.0,,,,,,,,,17.0,0.0,0.0,1.0,Browse issues and create events in calendar format,27808.0,0.0,0.0,commercial,My.com Calendar,Paid via Atlassian,Two,258.0,3.56153678291168,3.794573545455933,1439337600000.0,My.com,4.0.3,1110.0,3554.0,8712.0,20.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,
4,2528.0,,,,,,,,,11.0,0.0,1.0,1.0,"Full-blown native Excel exports, spreadsheet reports and Business Intelligence for Jira",38495.0,0.0,0.0,commercial,Better Excel Exporter for Jira,Paid via Atlassian,Two,142.0,3.63321777078843,3.94366192817688,1544808440015.0,Midori Global Consulting Kft.,6.2.0,200006002000.0,2958.0,6990.0,10.0,3.0,3.0,4.0,4.0,4.0,6075.0,7990.0,590.0,4.0,4.0,4.0,4.0,4.0
5,846.0,4966.0,9000.0,5.0,4.0,4.0,4.0,4.0,4.0,7.0,1.0,0.0,1.0,Toggl Integration for Jira — your integrated time tracking,1974.0,0.0,0.0,commercial,Toggl Integration for Jira,Paid via Atlassian,Two,29.0,2.897430816398105,3.620689630508423,1487607974025.0,Lizard Brain UG,2.1.36-SNAPSHOT,1002071.0,2140.0,8000.0,10.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,
6,2592.0,6974.0,20375.0,2.35,4.0,3.0,4.0,4.0,4.0,-27.0,1.0,0.0,0.0,Fast and easy worklog reports for your team,4.0,0.0,0.0,commercial,Team Worklog Reports,Paid via Atlassian,Three,33.0,3.018094671398543,3.696969747543335,1532507775750.0,Gebsun,10.0.6-AC,10000006.0,,,,,,,,,,,,,,,,
7,708.0,,,,,,,,,-1.0,0.0,1.0,1.0,Effective time tracking and reporting for Jira,16868.0,0.0,0.0,commercial,WorklogPRO - Timesheets for Jira,Paid via Atlassian,Two,28.0,3.195054251735052,3.928571462631226,1590073373065.0,The Starware,4.7.0,2160.0,3018.0,8000.0,10.0,4.0,4.0,4.0,3.0,4.0,8413.0,16600.0,465.0,4.0,4.0,3.0,4.0,4.0
8,4143.0,,,,,,,,,43.0,0.0,1.0,1.0,"Custom Jira reports and charts. Visualize and analyze Jira, DevOps, popular apps, and more with Jira custom reporting & charts app",88173.0,0.0,0.0,commercial,eazyBI Reports and Charts for Jira,Paid via Atlassian,Two,106.0,3.501210777414191,3.867924451828003,1535688730368.0,eazyBI,6.1.2,6010202.0,2555.0,6000.0,100.0,4.0,4.0,4.0,4.0,4.0,4903.0,6000.0,900.0,4.0,4.0,4.0,4.0,4.0
9,2995.0,5770.0,15900.0,1.0,0.0,0.0,0.0,0.0,0.0,109.0,1.0,1.0,1.0,"Visualize dependencies and timelines across large-scale projects with an adaptable, easy-to-use Gantt chart solution for Jira",26803.0,0.0,0.0,commercial,Structure.Gantt - Planning at Scale,Paid via Atlassian,Three,17.0,2.822547505181056,3.764705896377564,1599643391461.0,ALM Works,1.0.0-AC,1000000.0,2306.0,6000.0,10.0,4.0,4.0,4.0,4.0,4.0,6391.0,14000.0,550.0,4.0,0.0,0.0,0.0,0.0
